doc_id,code,materials,year
353,0,"THE CONTEST AND THE CRISIS.; At the Great Republican Meeting in The Politics of Justice, Equality and Freedom. SPEECH OF HON. WM. H. SEWARD, I am always prond of my native State when I stand in the presence of the mountains under whose shado? I was born, or on the shores of the stivery lakes among which I well. I am prouder still when, looking off rom the vestibule of the Capitol, I se... Speech at Buffalo",1855
354,80,Equality of the States--Opinion of the Attorney General. Cushing on the Federal rights in the... Cushing on the Federal rights in the,1855
351,80,"AN INTERESTING DOCUMENT.; Memorial of the Citizens of Boston, in 1820, Against the Admission of Missouri. Daniel Webster's Argument Against the Pro-Slavery Construction. THE DOCTRINE OF STATE EQUALITY The following able argument against the admission of Missouri with Slavery, though not included in any collection of his works, is evidently from the pen of Mr. WEBSTER. We republish it from an old pamphlet edition, found in the State Library, at ... ",1856
352,80,"State Equality--An Important Paper from Daniel Webster. We publish this morning an exceedingly able and interesting paper, clearly from the pen of DANIEL WEESTER, in refutation of the doctrine which the Pro Slavery party has succeeded in forcing upon the Democracy,-that the constitutional equality of t... On State equality",1856
350,80,"Southern Equality--Symptoms of a New Political Movement. The Richmond Enquirer, in common with other Southern papers, concedes tho comparative barrenness, so far as the peculiar interests of the slave-power are directly concerned, of the victory achieved in the election of Mr. BUCHANAN. It has unquestio... ",1857
345,80,"PRESIDENTIAL.; Mr. Breckinridge at Home. THESE SECEDERS RALLY IN LOUISVILLE TO THE SUPPORT OF ""THE CONSTITUTION OF THE UNIONAND THE EQUALITY OF THE STATES"" A ROWDYISH MEETING PRESTON AND POWELL GREATLY EXCITED.Correspondence of the New-York Times.  ",1860
346,61,"The Republicans and the Doctrine of Negro Equality. The Columbia (S.C.) Guardian, in reply to our comments on the disunion letter of Mr. BOYCE, insists that that gentlemen is quite correct in asserting that ""the vital principle of the Republican party is negro equality,""  ...... ",1860
347,61,"SPEECH OF WILLIAM M. EVARTS, ESQ.; WHAT THE REPUBLICANS INTEND DOING. THE QUESTION OF CONSTITUTIONALITY. THE GREAT ISSUES INVOLVED. THE TRUE ABOLITION PARTY. THE SOUTHERN DISUNION PARTY. THE DOUGLAS PARTY. THE BELL AND EVERETT PARTY. THE REPUBLICAN PARTY. THE ""ONE-IDEA"" CHARGE. SLAVERY LOCAL AND NOT NATIONAL. THE IRREPRESSIBLE CONFLICT. THE CHARGES AGAINST THE REPUBLICANS. THE QUESTION OF SLAVE INCREASE. NEGRO EQUALITY. THE RELATIONS OF MASTER AND SLAVE. WHAT THE ""IRREPRESSIBLE CONFLICT"" AMOUNTS TO. THE PROMOTERS OF THE SLAVE-TRADE. THE QUESTION OF THE TERRITORIES. THE PRESIDENTIAL CAMPAIGN. SLAVERY AND THE SUPREME COURT. OPINIONS LIABLE TO CHANGE. THE REAL SECTIONALISM OF THE COUNTRY. SOUTHERN THREATS OF SECESSION. We have already given a telegraphic abstract of the speech of Mr. EVARTS, delivered at Auburn, on the occasion of the great Republican mass meeting in that city on Tuesday afternoon. We now give it in full, as furnished by our special reporter, Mr... ",1860
348,61,"THE COMING ADMINISTRATION.; Views, Opinions, Sentiments and Purposes of Abraham Lincoln.HIS POSITION ON SLAVERY.Is he Sectional and Ultra, or Conservative and National? WHAT THE REPUBLICANS MUST DO. HOW MR. LINCOLN REGARDS SOUTHERN MEN. THE REAL ISSUE ON THE SUBJECT OF SLAVERY. HOW REPUBLICANS REGARD THE DRED SCOTT DECISION. THE FUGITINE SLAVE LAW. ADMISSION OF SLAVE STATES. COLUMBIA. DOMESTIC SLAVE-TRADE. WHEN THE SLAVERY QUESTION BECAME OF PARAMOUNT IMPORTANCE. MR. LINCOLN ON THE EQUALITY OF NEGROES AND WHITES. FURTHER STATEMENTS CONCERNING NEGRO EQUALIY. MR. LINCOLN'S VIEWS ON THE SUBJECT OF NEGRO EQUALITY. MR. LINCOLN'S VIEWS ON SLAVERY AND SOUTHERN RIGHTS. PERSONAL. Now that ABRAHAM LINCOLN is to be President of the United States during the next term, all parties are equally interested in understanding his precise position on the great question by which the country has been, and still is, so profoundly agitat... ",1860
349,61,Mr. Lincoln and Negro Equality.  ,1860
344,61,"MR. LINCOLN AND NEGRO EQUALITY. -We copied some days since from the Albany Atlas and Argus, an extract of a speech said to have been made by Mr. LINCOLN in 1858, in which he denounced those States which withheld from the negro the right of suffrage. We... ",1861
343,0,A POINT GAINED OUR EQUALITY WITH THE REBELS ADMITTED.  ,1862
338,61,"Negro Equality and Slavery. Professor MORSE has had the goodness to furnish the public, through the columns of the World, with his reasons for becoming a member of that ""Society for the Diffusion of Political Information,"" whose clandestine birth excited so much scandal a fe... on negro equality and Slavery; What he Said on Slavery the Corner-stone of the Confederacy",1863
339,61,"Negro Equality in the South. We notice, in our latest intelligence from New-Orleans, that a free State Convention has recently been held in Louisiana, at which a delegation of colored men were admitted to seats. Who called this Convention, and who composed it, we are not awar... Louisiana Free State Convention; Negroes Admitted to Free State Convention",1863
340,61,Negro Equality in the South The Free State Convention in Louisiana.  ,1863
341,61,"Negro Equality in the South. In our comments upon the recent admission of a colored delegation to seats in a Free State Convention of Louisiana, we assumed that the Convention was mainly made up of Northern men. A correspondent, more familiar with the members than we are, cor... The Free State Convention; the Louisiana Convention",1863
342,61,Negro Equality in the South.  ,1863
335,60,EQUALITY OF RACES IN THE SOUTH. New-Orleans Friends of Freedom and Colored Delegates... New-Orleans Friends of Freedom and Colored Delegates,1864
336,61,SLAVERY AND THE NEGRO.; NEGRO EQUALITY BEFORE THE LAW. On Interference with Elections Bill--Senate... On Interference with Elections Bill--Senate,1864
